,Name,Type,Size,Shape,Datatype
44,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/imageRawData,Dataset,2211840,"(1080, 2048)",int16
45,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/imageTimeStamp,Dataset,1,"(1,)",int64
46,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityAvg,Dataset,1,"(1,)",float64
47,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityHistogram,Dataset,1000,"(1000,)",int32
48,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityRMS,Dataset,1,"(1,)",float64
49,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensitySigma,Dataset,1,"(1,)",float64
50,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/pixelSize,Dataset,1,"(1,)",float64
51,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjAmp,Dataset,1,"(1,)",float64
52,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjAvg,Dataset,1,"(1,)",float64
53,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjSigma,Dataset,1,"(1,)",float64
54,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjection,Dataset,1080,"(1080,)",float64
55,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/width,Dataset,1,"(1,)",int32
56,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings,Group,,,
57,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/delayTime,Dataset,1,"(1,)",float64
58,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/exposureTime,Dataset,1,"(1,)",float64
59,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/gain,Dataset,1,"(1,)",int64
60,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/triggerMode,Dataset,1,"(1,)",|S2
61,AwakeEventData/BOVWA.01TCV4.CAM8,Group,,,
62,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,Group,,,
63,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/beamIntensity,Dataset,1,"(1,)",float64
64,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/beamSize,Dataset,1,"(1,)",float64
65,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/cogX,Dataset,1,"(1,)",float64
66,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/cogY,Dataset,1,"(1,)",float64
67,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/height,Dataset,1,"(1,)",int32
68,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjAmp,Dataset,1,"(1,)",float64
69,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjAvg,Dataset,1,"(1,)",float64
70,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjSigma,Dataset,1,"(1,)",float64
71,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjection,Dataset,2592,"(2592,)",float64
72,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/imageRawData,Dataset,5308416,"(2048, 2592)",int16
73,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/imageTimeStamp,Dataset,1,"(1,)",int64
74,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityAvg,Dataset,1,"(1,)",float64
75,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityHistogram,Dataset,1000,"(1000,)",int32
76,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityRMS,Dataset,1,"(1,)",float64
77,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensitySigma,Dataset,1,"(1,)",float64
78,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/pixelSize,Dataset,1,"(1,)",float64
79,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjAmp,Dataset,1,"(1,)",float64
80,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjAvg,Dataset,1,"(1,)",float64
81,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjSigma,Dataset,1,"(1,)",float64
82,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjection,Dataset,2048,"(2048,)",float64
83,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/width,Dataset,1,"(1,)",int32
84,AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings,Group,,,
85,AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/delayTime,Dataset,1,"(1,)",float64
86,AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/exposureTime,Dataset,1,"(1,)",float64
87,AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/gain,Dataset,1,"(1,)",int64
88,AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/triggerMode,Dataset,1,"(1,)",|S2
89,AwakeEventData/BOVWA.02TCC4.AWAKECAM02,Group,,,
90,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,Group,,,
91,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/beamIntensity,Dataset,1,"(1,)",float64
92,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/beamSize,Dataset,1,"(1,)",float64
93,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/cogX,Dataset,1,"(1,)",float64
94,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/cogY,Dataset,1,"(1,)",float64
95,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/height,Dataset,1,"(1,)",int32
96,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjAmp,Dataset,1,"(1,)",float64
97,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjAvg,Dataset,1,"(1,)",float64
98,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjSigma,Dataset,1,"(1,)",float64
99,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjection,Dataset,1280,"(1280,)",float64
100,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/imageRawData,Dataset,1228800,"(960, 1280)",int16
101,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/imageTimeStamp,Dataset,1,"(1,)",int64
102,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityAvg,Dataset,1,"(1,)",float64
103,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityHistogram,Dataset,1000,"(1000,)",int32
104,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityRMS,Dataset,1,"(1,)",float64
105,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensitySigma,Dataset,1,"(1,)",float64
106,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/pixelSize,Dataset,1,"(1,)",float64
107,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjAmp,Dataset,1,"(1,)",float64
108,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjAvg,Dataset,1,"(1,)",float64
109,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjSigma,Dataset,1,"(1,)",float64
110,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjection,Dataset,960,"(960,)",float64
111,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/width,Dataset,1,"(1,)",int32
112,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings,Group,,,
113,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/delayTime,Dataset,1,"(1,)",float64
114,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/exposureTime,Dataset,1,"(1,)",float64
115,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/gain,Dataset,1,"(1,)",int64
116,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/triggerMode,Dataset,1,"(1,)",|S2
117,AwakeEventData/BOVWA.02TSG40.CAM7,Group,,,
118,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,Group,,,
119,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/beamIntensity,Dataset,1,"(1,)",float64
120,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/beamSize,Dataset,1,"(1,)",float64
121,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/cogX,Dataset,1,"(1,)",float64
122,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/cogY,Dataset,1,"(1,)",float64
123,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/height,Dataset,1,"(1,)",int32
124,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjAmp,Dataset,1,"(1,)",float64
125,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjAvg,Dataset,1,"(1,)",float64
126,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjSigma,Dataset,1,"(1,)",float64
127,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjection,Dataset,1920,"(1920,)",float64
128,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/imageRawData,Dataset,2304000,"(1200, 1920)",int16
129,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/imageTimeStamp,Dataset,1,"(1,)",int64
130,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityAvg,Dataset,1,"(1,)",float64
131,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityHistogram,Dataset,1000,"(1000,)",int32
132,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityRMS,Dataset,1,"(1,)",float64
133,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensitySigma,Dataset,1,"(1,)",float64
134,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/pixelSize,Dataset,1,"(1,)",float64
135,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjAmp,Dataset,1,"(1,)",float64
136,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjAvg,Dataset,1,"(1,)",float64
137,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjSigma,Dataset,1,"(1,)",float64
138,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjection,Dataset,1200,"(1200,)",float64
139,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/width,Dataset,1,"(1,)",int32
140,AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings,Group,,,
141,AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/delayTime,Dataset,1,"(1,)",float64
142,AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/exposureTime,Dataset,1,"(1,)",float64
143,AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/gain,Dataset,1,"(1,)",int64
144,AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/triggerMode,Dataset,1,"(1,)",|S2
145,AwakeEventData/BOVWA.03TT41.CAM3,Group,,,
146,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,Group,,,
147,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/beamIntensity,Dataset,1,"(1,)",float64
148,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/beamSize,Dataset,1,"(1,)",float64
149,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/cogX,Dataset,1,"(1,)",float64
150,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/cogY,Dataset,1,"(1,)",float64
151,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/height,Dataset,1,"(1,)",int32
152,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjAmp,Dataset,1,"(1,)",float64
153,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjAvg,Dataset,1,"(1,)",float64
154,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjSigma,Dataset,1,"(1,)",float64
155,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjection,Dataset,1920,"(1920,)",float64
156,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/imageRawData,Dataset,2304000,"(1200, 1920)",int16
157,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/imageTimeStamp,Dataset,1,"(1,)",int64
158,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensityAvg,Dataset,1,"(1,)",float64
159,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensityHistogram,Dataset,1000,"(1000,)",int32
160,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensityRMS,Dataset,1,"(1,)",float64
161,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensitySigma,Dataset,1,"(1,)",float64
162,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/pixelSize,Dataset,1,"(1,)",float64
163,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjAmp,Dataset,1,"(1,)",float64
164,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjAvg,Dataset,1,"(1,)",float64
165,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjSigma,Dataset,1,"(1,)",float64
166,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjection,Dataset,1200,"(1200,)",float64
167,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/width,Dataset,1,"(1,)",int32
168,AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings,Group,,,
169,AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/delayTime,Dataset,1,"(1,)",float64
170,AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/exposureTime,Dataset,1,"(1,)",float64
171,AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/gain,Dataset,1,"(1,)",int64
172,AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/triggerMode,Dataset,1,"(1,)",|S2
173,AwakeEventData/BOVWA.04TCC4.AWAKECAM04,Group,,,
174,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage,Group,,,
175,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/beamIntensity,Dataset,1,"(1,)",float64
176,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/beamSize,Dataset,1,"(1,)",float64
177,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/cogX,Dataset,1,"(1,)",float64
178,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/cogY,Dataset,1,"(1,)",float64
179,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/height,Dataset,1,"(1,)",int32
180,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjAmp,Dataset,1,"(1,)",float64
181,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjAvg,Dataset,1,"(1,)",float64
182,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjSigma,Dataset,1,"(1,)",float64
183,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjection,Dataset,1600,"(1600,)",float64
184,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/imageRawData,Dataset,1920000,"(1200, 1600)",int16
185,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/imageTimeStamp,Dataset,1,"(1,)",int64
186,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensityAvg,Dataset,1,"(1,)",float64
187,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensityHistogram,Dataset,1000,"(1000,)",int32
188,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensityRMS,Dataset,1,"(1,)",float64
189,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensitySigma,Dataset,1,"(1,)",float64
190,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/pixelSize,Dataset,1,"(1,)",float64
191,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjAmp,Dataset,1,"(1,)",float64
192,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjAvg,Dataset,1,"(1,)",float64
193,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjSigma,Dataset,1,"(1,)",float64
194,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjection,Dataset,1200,"(1200,)",float64
195,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/width,Dataset,1,"(1,)",int32
196,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings,Group,,,
197,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/delayTime,Dataset,1,"(1,)",float64
198,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/exposureTime,Dataset,1,"(1,)",float64
199,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/gain,Dataset,1,"(1,)",int64
200,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/triggerMode,Dataset,1,"(1,)",|S2
201,AwakeEventData/BOVWA.04TT41.CAM4,Group,,,
202,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage,Group,,,
203,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/beamIntensity,Dataset,1,"(1,)",float64
204,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/beamSize,Dataset,1,"(1,)",float64
205,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/cogX,Dataset,1,"(1,)",float64
206,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/cogY,Dataset,1,"(1,)",float64
207,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/height,Dataset,1,"(1,)",int32
208,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjAmp,Dataset,1,"(1,)",float64
209,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjAvg,Dataset,1,"(1,)",float64
210,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjSigma,Dataset,1,"(1,)",float64
211,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjection,Dataset,1920,"(1920,)",float64
212,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/imageRawData,Dataset,2304000,"(1200, 1920)",int16
213,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/imageTimeStamp,Dataset,1,"(1,)",int64
214,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensityAvg,Dataset,1,"(1,)",float64
215,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensityHistogram,Dataset,1000,"(1000,)",int32
216,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensityRMS,Dataset,1,"(1,)",float64
217,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensitySigma,Dataset,1,"(1,)",float64
218,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/pixelSize,Dataset,1,"(1,)",float64
219,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjAmp,Dataset,1,"(1,)",float64
220,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjAvg,Dataset,1,"(1,)",float64
221,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjSigma,Dataset,1,"(1,)",float64
222,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjection,Dataset,1200,"(1200,)",float64
223,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/width,Dataset,1,"(1,)",int32
224,AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings,Group,,,
225,AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/delayTime,Dataset,1,"(1,)",float64
226,AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/exposureTime,Dataset,1,"(1,)",float64
227,AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/gain,Dataset,1,"(1,)",int64
228,AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/triggerMode,Dataset,1,"(1,)",|S2
229,AwakeEventData/BOVWA.05TT41.CAM5,Group,,,
230,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,Group,,,
231,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/beamIntensity,Dataset,1,"(1,)",float64
232,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/beamSize,Dataset,1,"(1,)",float64
233,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/cogX,Dataset,1,"(1,)",float64
234,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/cogY,Dataset,1,"(1,)",float64
235,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/height,Dataset,1,"(1,)",int32
236,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjAmp,Dataset,1,"(1,)",float64
237,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjAvg,Dataset,1,"(1,)",float64
238,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjSigma,Dataset,1,"(1,)",float64
239,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjection,Dataset,1920,"(1920,)",float64
240,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/imageRawData,Dataset,2304000,"(1200, 1920)",int16
241,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/imageTimeStamp,Dataset,1,"(1,)",int64
242,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensityAvg,Dataset,1,"(1,)",float64
243,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensityHistogram,Dataset,1000,"(1000,)",int32
244,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensityRMS,Dataset,1,"(1,)",float64
245,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensitySigma,Dataset,1,"(1,)",float64
246,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/pixelSize,Dataset,1,"(1,)",float64
247,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjAmp,Dataset,1,"(1,)",float64
248,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjAvg,Dataset,1,"(1,)",float64
249,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjSigma,Dataset,1,"(1,)",float64
250,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjection,Dataset,1200,"(1200,)",float64
251,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/width,Dataset,1,"(1,)",int32
252,AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings,Group,,,
253,AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/delayTime,Dataset,1,"(1,)",float64
254,AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/exposureTime,Dataset,1,"(1,)",float64
255,AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/gain,Dataset,1,"(1,)",int64
